員工編號,姓名,部門,職稱,學歷,到職日,月薪,績效分數,加班時數,居住城市
E1000,劉OO,財務部,主管,專科,2023/08/22,34000,56.2,15,高雄市
E1001,許OO,工程部,資深專員,大學,2019/02/18,73000,96.4,3,高雄市
E1002,黃OO,財務部,資深專員,大學,2024/06/06,66000,86.5,-,台北市
E1003,林OO,財務部,經理,專科,2018/07/06,71000,83.7,16,台南市
E1004,楊OO,行銷部,資深專員,大學,2025/11/03,40000,80.7,33,高雄市
E1005,吳OO,財務部,資深專員,博士,2023/02/17,62000,60.3,7,新北市
E1006,吳OO,工程部,專員,專科,2024/02/27,79000,88.5,27,高雄市
E1007,蔡OO,人資部,經理,博士,2022/03/22,42000,90.0,1,台中市
E1008,李OO,人資部,專員,專科,2018/09/23,56000,77.4,8,高雄市
E1009,劉OO,財務部,資深專員,碩士,2025/03/02,80000,缺,12,台北市
E1010,許OO,行銷部,專員,大學,2018/07/30,41000,52.5,30,台南市
E1011,許OO,行銷部,專員,大學,2019/10/01,69000,缺,6,新北市
E1012,林OO,客服部,主管,博士,2021/02/11,42000,75.8,22,高雄市
E1013,黃OO,行銷部,資深專員,碩士,2018/01/29,33000,74.2,-,台南市
E1014,林OO,工程部,經理,博士,2022/06/11,44000,77.1,14,台中市
E1015,許OO,財務部,專員,碩士,2021/10/25,50000,71.8,16,新竹市
E1016,李OO,財務部,經理,碩士,2024/08/17,58000,61.6,-,高雄市
E1017,許OO,行銷部,主管,博士,2022/02/18,85000,缺,21,新北市
E1018,楊OO,客服部,主管,大學,2022/03/15,65000,65.8,-,新北市
E1019,張OO,財務部,主管,大學,2023/05/11,45000,55.8,37,高雄市
E1020,吳OO,財務部,專員,大學,2020/07/04,52000,缺,24,台南市
E1021,許OO,行銷部,專員,碩士,2024/09/23,37000,54.9,11,高雄市
E1022,劉OO,財務部,專員,博士,2024/05/11,33000,95.1,18,高雄市
E1023,黃OO,人資部,經理,大學,2020/08/22,55000,82.3,14,台北市
E1024,李OO,工程部,主管,碩士,2018/10/26,82000,缺,3,
E1025,吳OO,行銷部,資深專員,碩士,2018/08/15,64000,61.4,16,新竹市
E1026,張OO,行銷部,主管,碩士,2022/10/26,81000,56.5,26,台南市
E1027,黃OO,客服部,主管,大學,2018/10/04,46000,74.9,3,新竹市
E1028,吳OO,行銷部,資深專員,大學,2019/11/04,40000,74.4,39,
E1029,蔡OO,人資部,經理,碩士,2018/12/05,85000,60.4,13,新竹市
E1030,劉OO,客服部,專員,大學,2020/06/26,61000,63.1,1,台南市
E1031,李OO,行銷部,專員,專科,2021/03/01,74000,69.5,4,新北市
E1032,林OO,財務部,主管,專科,2021/11/21,32000,57.7,15,高雄市
E1033,林OO,人資部,主管,博士,2024/06/03,88000,65.6,2,台北市
E1034,蔡OO,客服部,經理,專科,2024/01/10,88000,88.0,28,台南市
E1035,陳OO,客服部,資深專員,專科,2024/12/05,87000,缺,31,新北市
E1036,吳OO,財務部,主管,博士,2022/05/14,63000,98.9,29,新竹市
E1037,許OO,人資部,主管,大學,2020/04/13,35000,88.3,19,新北市
E1038,楊OO,客服部,主管,大學,2021/04/08,73000,81.7,7,
E1039,許OO,人資部,主管,博士,2024/09/08,61000,88.0,23,新竹市
E1040,陳OO,客服部,主管,專科,2022/12/06,85000,70.1,34,台北市
E1041,楊OO,財務部,主管,博士,2019/03/31,46000,86.9,29,高雄市
E1042,李OO,財務部,資深專員,專科,2022/05/27,72000,缺,3,高雄市
E1043,吳OO,人資部,主管,博士,2022/11/12,90000,79.6,30,台南市
E1044,吳OO,行銷部,主管,碩士,2023/03/13,80000,89.5,-,台中市
E1045,陳OO,財務部,經理,大學,2026/02/26,38000,54.5,1,台南市
E1046,李OO,財務部,主管,大學,2026/02/07,67000,54.2,6,新北市
E1047,許OO,行銷部,專員,博士,2018/10/23,35000,75.3,24,新竹市
E1048,許OO,工程部,主管,博士,2024/02/11,53000,58.8,10,
E1049,林OO,工程部,主管,博士,2019/08/30,44000,58.3,-,新北市
E1050,李OO,客服部,經理,博士,2021/04/15,85000,90.3,6,高雄市
E1051,林OO,工程部,專員,博士,2023/06/29,37000,92.7,7,新竹市
E1052,陳OO,人資部,資深專員,博士,2021/08/22,71000,84.2,33,新北市
E1053,吳OO,客服部,主管,大學,2019/09/23,49000,89.5,36,新竹市
E1054,楊OO,財務部,資深專員,碩士,2024/06/08,80000,82.2,-,台北市
E1055,蔡OO,人資部,主管,博士,2022/04/08,77000,90.8,36,台北市
E1056,楊OO,行銷部,專員,專科,2020/09/14,43000,73.2,28,台南市
E1057,吳OO,行銷部,經理,博士,2020/08/24,44000,64.5,24,台中市
E1058,陳OO,行銷部,主管,專科,2025/10/21,86000,52.1,9,新北市
E1059,劉OO,行銷部,資深專員,大學,2019/11/09,50000,55.9,-,台中市
E1060,李OO,工程部,主管,博士,2021/07/24,91000,68.8,35,台南市
E1061,林OO,工程部,資深專員,專科,2019/03/13,83000,65.2,32,台南市
E1062,李OO,客服部,資深專員,大學,2018/06/10,63000,68.9,22,
E1063,吳OO,行銷部,主管,專科,2025/01/31,72000,72.2,-,台北市
E1064,李OO,財務部,經理,博士,2024/01/25,47000,61.0,0,台北市
E1065,陳OO,財務部,經理,專科,2023/08/04,67000,78.6,28,台北市
E1066,楊OO,財務部,專員,大學,2022/02/04,60000,89.0,38,新北市
E1067,黃OO,行銷部,專員,專科,2021/05/14,41000,52.9,6,台南市
E1068,林OO,財務部,經理,大學,2019/01/21,37000,92.2,6,台中市
E1069,吳OO,工程部,經理,碩士,2022/10/21,39000,86.7,3,台北市
E1070,黃OO,人資部,資深專員,碩士,2022/01/09,91000,78.7,9,高雄市
E1071,許OO,人資部,專員,博士,2023/10/08,37000,65.4,26,台中市
E1072,林OO,行銷部,經理,碩士,2022/07/23,53000,缺,4,台中市
E1073,黃OO,行銷部,專員,博士,2018/10/24,65000,66.7,16,
E1074,張OO,行銷部,專員,專科,2023/12/20,77000,98.2,24,台南市
E1075,李OO,工程部,專員,博士,2023/09/03,43000,66.5,15,
E1076,吳OO,行銷部,主管,博士,2024/02/18,35000,97.7,20,新竹市
E1077,林OO,客服部,資深專員,專科,2020/10/07,50000,缺,31,高雄市
E1078,張OO,財務部,專員,專科,2022/07/27,73000,84.9,2,台南市
E1079,許OO,人資部,專員,博士,2019/02/20,54000,92.3,-,台南市
E1080,楊OO,財務部,主管,專科,2018/07/09,69000,缺,7,台北市
E1081,張OO,行銷部,專員,碩士,2025/02/15,84000,缺,7,台南市
E1082,蔡OO,人資部,資深專員,專科,2022/05/26,35000,52.7,12,台南市
E1083,劉OO,客服部,資深專員,專科,2024/06/06,59000,缺,34,台中市
E1084,蔡OO,客服部,專員,專科,2023/12/13,56000,81.0,6,台南市
E1085,楊OO,客服部,資深專員,碩士,2019/03/18,37000,95.1,39,台中市
E1086,楊OO,客服部,經理,碩士,2025/08/19,59000,97.1,-,台北市
E1087,李OO,行銷部,經理,碩士,2018/03/22,37000,67.9,22,
E1088,陳OO,行銷部,資深專員,專科,2020/01/10,68000,51.2,34,台南市
E1089,蔡OO,行銷部,主管,碩士,2020/11/11,46000,87.3,36,台南市
E1090,林OO,客服部,專員,碩士,2020/12/17,67000,缺,24,台中市
E1091,張OO,人資部,主管,大學,2025/01/05,65000,91.5,-,台中市
E1092,黃OO,行銷部,專員,大學,2018/03/24,72000,75.5,34,台南市
E1093,林OO,工程部,專員,專科,2023/01/24,45000,85.0,15,新竹市
E1094,陳OO,財務部,專員,碩士,2018/07/21,43000,79.4,0,台北市
E1095,劉OO,行銷部,專員,大學,2019/03/24,58000,缺,33,新北市
E1096,許OO,財務部,經理,大學,2021/01/16,39000,58.1,12,台中市
E1097,林OO,客服部,經理,大學,2025/08/21,33000,75.7,-,新北市
E1098,蔡OO,工程部,資深專員,大學,2026/03/09,41000,71.4,18,新竹市
E1099,劉OO,人資部,主管,博士,2025/03/08,70000,51.9,32,
E1100,吳OO,工程部,資深專員,大學,2022/06/07,38000,74.0,5,台北市
E1101,蔡OO,人資部,主管,大學,2025/06/08,50000,52.5,38,新竹市
E1102,李OO,客服部,主管,大學,2019/03/08,46000,67.5,22,高雄市
E1103,吳OO,人資部,資深專員,碩士,2024/07/17,36000,60.5,-,台中市
E1104,李OO,客服部,專員,碩士,2019/07/13,91000,60.5,2,新北市
E1105,李OO,財務部,經理,博士,2018/02/01,77000,缺,-,高雄市
E1106,黃OO,工程部,主管,專科,2022/03/31,49000,81.6,31,高雄市
E1107,黃OO,工程部,資深專員,博士,2024/01/18,61000,57.6,19,台南市
E1108,蔡OO,客服部,主管,大學,2025/05/29,33000,缺,-,高雄市
E1109,陳OO,財務部,主管,博士,2020/10/10,44000,59.6,26,台南市
E1110,吳OO,客服部,經理,博士,2025/04/13,68000,77.3,11,台南市
E1111,黃OO,工程部,專員,碩士,2018/01/23,47000,88.3,15,台北市
E1112,李OO,工程部,專員,專科,2019/03/27,90000,65.7,37,新北市
E1113,張OO,財務部,主管,大學,2019/03/15,45000,缺,2,台南市
E1114,陳OO,行銷部,專員,博士,2023/12/01,90000,69.4,-,新竹市
E1115,楊OO,客服部,經理,專科,2025/09/04,32000,缺,6,台中市
E1116,張OO,財務部,資深專員,大學,2024/12/26,53000,84.3,19,
E1117,吳OO,人資部,經理,大學,2024/02/18,33000,79.1,-,新北市
E1118,蔡OO,財務部,資深專員,大學,2021/05/07,71000,66.6,32,
E1119,李OO,人資部,資深專員,博士,2023/11/29,52000,66.5,19,
E1120,許OO,行銷部,經理,專科,2018/10/22,81000,74.3,34,新竹市
E1121,許OO,財務部,專員,博士,2020/04/29,38000,78.3,12,新北市
E1122,陳OO,人資部,專員,博士,2025/04/08,61000,70.3,16,新竹市
E1123,許OO,客服部,經理,碩士,2018/02/05,33000,缺,35,台南市
