日期,門市,業務員,產品類別,銷售數量,單價,折扣,客戶評分,是否會員,地區
2026-03-10,桃園機場店,林淑芬,3C 家電,15,2780,NA,3,FALSE,北區
2026-03-02,台中新光店,陳美玲,食品禮盒,2,9980,0.25,2,TRUE,中區
2026-04-18,桃園機場店,陳美玲,3C 家電,19,2230,0.28,1,TRUE,北區
2026-04-11,台中新光店,林淑芬,3C 家電,4,1640,0.17,5,TRUE,東區
2026-05-06,台北車站店,林淑芬,生活用品,7,1880,0.11,1,TRUE,南區
2026-04-03,高雄漢神店,王小明,服飾配件,6,9310,0.20,,TRUE,未知
2026-03-01,台中新光店,劉俊傑,服飾配件,7,2650,0.11,,FALSE,未知
2026-03-18,桃園機場店,李大華,生活用品,3,3110,0.09,4,FALSE,北區
2026-01-10,台中新光店,李大華,美妝保養,9,3760,NA,4,FALSE,東區
2026-01-21,台北旗艦店,李大華,服飾配件,18,5070,NA,5,TRUE,東區
2026-07-30,台中新光店,李大華,服飾配件,18,3640,0.29,2,FALSE,北區
2026-02-02,高雄漢神店,王小明,美妝保養,6,7560,0.27,2,TRUE,南區
2026-02-24,台北車站店,陳美玲,美妝保養,20,8640,NA,4,TRUE,北區
2026-02-12,台北旗艦店,陳美玲,美妝保養,10,6180,0.11,,FALSE,南區
2026-01-03,高雄漢神店,陳美玲,生活用品,16,6520,NA,4,TRUE,北區
2026-03-18,台北旗艦店,劉俊傑,美妝保養,12,2900,NA,,TRUE,未知
2026-05-01,桃園機場店,林淑芬,食品禮盒,5,6030,0.10,5,TRUE,東區
2026-06-20,台北車站店,劉俊傑,3C 家電,5,3840,0.28,1,FALSE,南區
2026-04-08,高雄漢神店,張雅婷,食品禮盒,16,3610,0.04,,TRUE,北區
2026-01-27,台中新光店,張雅婷,3C 家電,17,1160,0.27,3,FALSE,中區
2026-04-26,台中新光店,王小明,食品禮盒,14,240,0.17,3,TRUE,中區
2026-03-04,台中新光店,陳美玲,食品禮盒,4,3380,NA,1,FALSE,未知
2026-02-21,高雄漢神店,李大華,3C 家電,8,2180,0.14,,TRUE,中區
2026-07-18,台北車站店,張雅婷,美妝保養,6,2850,0.16,1,TRUE,北區
2026-05-04,台中新光店,陳美玲,服飾配件,18,6040,0.07,,TRUE,未知
2026-03-28,桃園機場店,陳美玲,生活用品,19,4050,0.12,5,TRUE,未知
2026-04-18,桃園機場店,李大華,服飾配件,18,5950,0.22,1,TRUE,南區
2026-08-18,台中新光店,張雅婷,生活用品,2,2970,0.02,1,FALSE,南區
2026-03-01,高雄漢神店,林淑芬,生活用品,19,8790,0.12,1,TRUE,東區
2026-07-04,台北旗艦店,劉俊傑,3C 家電,10,8460,NA,,TRUE,東區
2026-02-04,台北車站店,林淑芬,美妝保養,6,3670,0.04,,FALSE,南區
2026-08-08,台北車站店,陳美玲,美妝保養,4,4340,0.28,4,FALSE,東區
2026-04-12,台北旗艦店,陳美玲,食品禮盒,3,4030,0.22,2,FALSE,南區
2026-08-19,N/A,陳美玲,美妝保養,9,9050,0.23,1,TRUE,北區
2026-04-09,台中新光店,林淑芬,服飾配件,6,5780,0.12,,TRUE,北區
2026-04-17,N/A,張雅婷,服飾配件,1,3610,NA,2,TRUE,未知
2026-05-05,台北車站店,張雅婷,3C 家電,20,7980,0.29,2,FALSE,北區
2026-08-10,台北旗艦店,林淑芬,3C 家電,17,6510,0.04,,TRUE,中區
2026-02-08,台北車站店,陳美玲,3C 家電,2,5810,0.11,1,FALSE,東區
2026-08-21,台北車站店,李大華,食品禮盒,18,980,0.14,5,FALSE,北區
2026-05-11,台北車站店,王小明,美妝保養,11,9720,0.21,3,TRUE,未知
2026-08-07,台北旗艦店,劉俊傑,美妝保養,13,8770,0.23,,FALSE,北區
2026-05-16,台中新光店,林淑芬,食品禮盒,4,7650,0.29,3,TRUE,南區
2026-05-01,桃園機場店,張雅婷,美妝保養,2,590,0.19,3,TRUE,未知
2026-04-09,高雄漢神店,林淑芬,食品禮盒,9,1950,0.03,3,TRUE,北區
2026-07-14,N/A,陳美玲,食品禮盒,19,6610,0.01,3,TRUE,東區
2026-05-26,台北車站店,張雅婷,食品禮盒,4,440,0.09,2,TRUE,北區
2026-06-08,桃園機場店,陳美玲,生活用品,5,9750,NA,2,TRUE,南區
2026-04-14,台中新光店,張雅婷,美妝保養,11,3680,NA,1,TRUE,未知
2026-07-02,N/A,劉俊傑,生活用品,7,8260,0.13,3,TRUE,東區
2026-01-31,高雄漢神店,劉俊傑,食品禮盒,6,1180,0.10,3,TRUE,中區
2026-05-27,桃園機場店,林淑芬,服飾配件,20,9480,0.03,,FALSE,南區
2026-05-20,台北旗艦店,劉俊傑,服飾配件,15,4050,0.01,5,FALSE,北區
2026-08-05,台中新光店,李大華,美妝保養,9,2010,NA,2,TRUE,中區
2026-02-14,高雄漢神店,王小明,美妝保養,8,6840,0.02,4,TRUE,東區
2026-08-12,桃園機場店,劉俊傑,生活用品,10,9060,NA,,TRUE,東區
2026-07-01,N/A,林淑芬,3C 家電,18,3890,NA,,FALSE,南區
2026-01-22,桃園機場店,劉俊傑,美妝保養,13,940,0.18,,FALSE,南區
2026-02-03,台北車站店,張雅婷,3C 家電,3,6060,0.26,4,TRUE,北區
2026-06-01,高雄漢神店,劉俊傑,食品禮盒,1,3830,0.05,2,TRUE,北區
2026-08-10,高雄漢神店,張雅婷,美妝保養,3,5630,0.01,,FALSE,北區
2026-01-22,台北車站店,王小明,食品禮盒,14,870,0.03,3,TRUE,北區
2026-07-12,台中新光店,林淑芬,生活用品,11,9160,NA,4,TRUE,北區
2026-08-18,高雄漢神店,李大華,美妝保養,10,2250,0.14,1,TRUE,南區
2026-07-22,高雄漢神店,李大華,食品禮盒,5,7090,0.26,2,TRUE,中區
2026-01-13,台中新光店,李大華,3C 家電,16,2090,0.26,1,FALSE,中區
2026-05-28,台中新光店,陳美玲,美妝保養,10,1320,0.21,4,FALSE,南區
2026-04-20,桃園機場店,李大華,服飾配件,15,2320,NA,5,FALSE,東區
2026-03-24,桃園機場店,林淑芬,美妝保養,3,260,0.09,3,FALSE,南區
2026-06-09,N/A,張雅婷,服飾配件,2,5120,NA,3,TRUE,北區
2026-06-22,高雄漢神店,林淑芬,美妝保養,8,230,0.04,1,TRUE,未知
2026-07-26,桃園機場店,李大華,生活用品,1,9550,0.18,4,TRUE,中區
2026-03-01,台北車站店,劉俊傑,生活用品,5,4240,0.15,4,FALSE,未知
2026-06-15,高雄漢神店,林淑芬,生活用品,14,3560,0.03,2,TRUE,東區
2026-02-22,高雄漢神店,陳美玲,美妝保養,7,1390,0.23,2,TRUE,中區
2026-04-07,台北車站店,李大華,生活用品,16,8930,NA,5,TRUE,東區
2026-02-21,台北旗艦店,張雅婷,3C 家電,15,5870,NA,4,TRUE,南區
2026-08-14,台北車站店,林淑芬,美妝保養,4,9020,0.20,4,FALSE,未知
2026-01-25,高雄漢神店,陳美玲,服飾配件,5,2420,0.04,2,TRUE,北區
2026-07-25,台北車站店,李大華,生活用品,12,4440,0.12,2,TRUE,未知
2026-04-10,台中新光店,林淑芬,美妝保養,15,7590,0.02,1,TRUE,北區
2026-05-28,台中新光店,林淑芬,美妝保養,11,2440,0.30,1,TRUE,北區
2026-08-23,桃園機場店,張雅婷,服飾配件,7,690,NA,3,TRUE,東區
2026-05-20,台北車站店,陳美玲,服飾配件,15,5220,0.05,2,TRUE,東區
2026-04-11,台北旗艦店,陳美玲,3C 家電,19,9350,0.16,,FALSE,北區
2026-06-07,台北車站店,劉俊傑,3C 家電,16,9510,NA,5,TRUE,北區
2026-03-26,桃園機場店,李大華,服飾配件,5,4680,0.23,,FALSE,東區
2026-06-13,台北車站店,張雅婷,食品禮盒,14,9190,0.15,,FALSE,東區
2026-06-03,台北車站店,劉俊傑,生活用品,13,8970,0.12,,FALSE,北區
2026-08-20,桃園機場店,張雅婷,生活用品,17,8860,0.17,,FALSE,北區
2026-03-20,台中新光店,王小明,食品禮盒,8,5690,0.11,1,TRUE,中區
2026-05-24,台北車站店,林淑芬,美妝保養,2,2860,0.17,,FALSE,北區
2026-01-11,台中新光店,陳美玲,3C 家電,20,990,0.00,4,TRUE,北區
2026-05-22,高雄漢神店,劉俊傑,生活用品,13,3500,0.30,4,FALSE,東區
2026-05-05,桃園機場店,李大華,美妝保養,17,9690,0.14,3,TRUE,未知
2026-04-20,台北旗艦店,張雅婷,美妝保養,19,4610,NA,,TRUE,北區
2026-01-28,高雄漢神店,陳美玲,食品禮盒,5,7850,0.22,,FALSE,中區
2026-04-19,桃園機場店,張雅婷,服飾配件,12,1790,0.25,,FALSE,南區
2026-03-15,高雄漢神店,王小明,美妝保養,12,6000,0.16,,TRUE,南區
2026-06-29,台北車站店,劉俊傑,生活用品,16,3740,0.02,3,TRUE,南區
2026-05-14,高雄漢神店,劉俊傑,服飾配件,10,790,0.25,2,FALSE,南區
2026-02-27,台中新光店,李大華,3C 家電,10,6920,0.26,,TRUE,南區
2026-03-09,桃園機場店,林淑芬,服飾配件,7,3070,0.01,4,FALSE,中區
2026-06-19,桃園機場店,李大華,美妝保養,12,7460,0.01,1,TRUE,北區
2026-08-21,高雄漢神店,陳美玲,3C 家電,17,5350,NA,,FALSE,北區
2026-07-12,高雄漢神店,劉俊傑,食品禮盒,19,2600,0.06,,FALSE,未知
2026-01-06,台中新光店,劉俊傑,服飾配件,4,6980,0.26,,FALSE,中區
2026-08-16,高雄漢神店,李大華,3C 家電,20,4110,0.20,,FALSE,未知
2026-04-20,台北車站店,陳美玲,服飾配件,9,4290,0.23,,FALSE,東區
2026-04-01,高雄漢神店,李大華,美妝保養,8,2560,0.21,4,TRUE,中區
2026-03-07,台北車站店,陳美玲,服飾配件,18,8530,0.20,4,FALSE,北區
2026-01-14,高雄漢神店,陳美玲,服飾配件,6,2870,0.17,1,FALSE,中區
2026-01-26,台中新光店,張雅婷,食品禮盒,5,320,NA,,FALSE,南區
2026-07-24,台北車站店,劉俊傑,美妝保養,2,7440,0.08,4,FALSE,南區
2026-05-03,高雄漢神店,王小明,3C 家電,20,3260,0.10,,TRUE,北區
2026-07-18,台北旗艦店,王小明,服飾配件,19,7780,0.09,,TRUE,南區
2026-01-05,台中新光店,劉俊傑,食品禮盒,14,6310,0.20,3,FALSE,東區
2026-05-21,台北車站店,陳美玲,生活用品,11,7030,0.28,2,FALSE,東區
2026-01-24,高雄漢神店,劉俊傑,3C 家電,11,1490,NA,2,FALSE,北區
2026-02-23,N/A,李大華,生活用品,15,9590,NA,3,TRUE,北區
2026-01-21,台中新光店,王小明,食品禮盒,18,8500,0.07,,TRUE,南區
2026-06-28,台北車站店,陳美玲,生活用品,3,510,0.25,,TRUE,南區
2026-08-22,台北車站店,劉俊傑,美妝保養,3,8830,0.08,3,FALSE,中區
2026-07-31,台北車站店,王小明,食品禮盒,6,6310,0.12,1,TRUE,南區
2026-06-12,桃園機場店,李大華,生活用品,11,8710,0.03,,TRUE,東區
2026-06-29,台中新光店,林淑芬,美妝保養,9,6820,0.22,2,TRUE,南區
2026-06-17,台北車站店,李大華,食品禮盒,10,2410,0.21,3,FALSE,中區
2026-05-29,台中新光店,李大華,3C 家電,2,8370,0.04,,TRUE,北區
2026-03-25,台中新光店,張雅婷,美妝保養,12,1910,0.24,,TRUE,中區
2026-01-29,台北車站店,林淑芬,3C 家電,6,9820,0.10,,FALSE,東區
2026-04-03,台北車站店,李大華,3C 家電,1,8190,0.10,1,FALSE,中區
2026-05-22,台北旗艦店,王小明,美妝保養,16,5200,0.28,3,FALSE,中區
2026-06-08,台中新光店,劉俊傑,生活用品,4,6380,0.15,2,TRUE,北區
2026-03-18,台北車站店,陳美玲,食品禮盒,14,670,0.15,,FALSE,中區
2026-03-28,高雄漢神店,林淑芬,3C 家電,10,5720,0.10,,TRUE,東區
2026-08-25,台北旗艦店,李大華,美妝保養,16,7060,0.27,,TRUE,東區
2026-05-15,台北車站店,林淑芬,服飾配件,17,840,0.28,,TRUE,中區
2026-05-09,台中新光店,張雅婷,美妝保養,6,4880,0.24,3,FALSE,南區
2026-04-12,桃園機場店,陳美玲,食品禮盒,9,2700,0.08,,FALSE,中區
2026-04-24,桃園機場店,陳美玲,生活用品,13,640,0.28,1,FALSE,中區
2026-01-26,桃園機場店,張雅婷,3C 家電,7,4840,0.24,,TRUE,北區
2026-04-12,台中新光店,陳美玲,服飾配件,20,2850,0.16,2,TRUE,東區
2026-04-26,台中新光店,陳美玲,美妝保養,1,4560,NA,,FALSE,東區
2026-05-09,N/A,劉俊傑,生活用品,16,7030,0.19,2,TRUE,未知
2026-08-08,台北車站店,劉俊傑,美妝保養,18,8630,NA,1,FALSE,東區
2026-05-20,高雄漢神店,陳美玲,3C 家電,6,3410,NA,3,TRUE,北區
2026-07-15,桃園機場店,陳美玲,食品禮盒,9,5540,NA,,FALSE,北區
2026-02-14,高雄漢神店,張雅婷,服飾配件,16,1740,0.22,2,FALSE,北區
2026-03-21,桃園機場店,林淑芬,服飾配件,12,1260,0.24,5,TRUE,中區
2026-06-18,台北車站店,林淑芬,美妝保養,7,4330,0.21,1,TRUE,中區
2026-06-19,高雄漢神店,李大華,服飾配件,11,3760,0.09,,FALSE,南區
2026-04-02,高雄漢神店,王小明,3C 家電,11,3320,0.29,,TRUE,南區
2026-02-24,桃園機場店,劉俊傑,美妝保養,10,4250,0.08,4,TRUE,未知
2026-01-21,高雄漢神店,李大華,生活用品,2,6230,0.20,,FALSE,北區
2026-05-13,桃園機場店,李大華,服飾配件,1,3860,0.14,5,TRUE,中區
2026-04-23,台北車站店,王小明,生活用品,19,5800,0.15,1,TRUE,中區
2026-06-18,台北車站店,劉俊傑,食品禮盒,18,9170,0.13,4,FALSE,南區
2026-07-20,高雄漢神店,王小明,服飾配件,13,2350,0.29,,FALSE,北區
2026-05-27,高雄漢神店,林淑芬,食品禮盒,8,4760,NA,1,TRUE,東區
2026-08-02,高雄漢神店,林淑芬,生活用品,16,9020,NA,,FALSE,北區
2026-06-14,高雄漢神店,劉俊傑,美妝保養,18,8320,0.17,5,TRUE,南區
2026-05-30,桃園機場店,劉俊傑,服飾配件,10,4910,0.16,,FALSE,南區
2026-08-14,台北旗艦店,劉俊傑,3C 家電,6,850,0.07,,FALSE,東區
2026-07-15,台中新光店,張雅婷,食品禮盒,7,3850,0.06,2,TRUE,南區
2026-07-26,台北旗艦店,張雅婷,美妝保養,4,4210,0.19,4,TRUE,北區
2026-01-18,台北旗艦店,王小明,食品禮盒,1,5490,0.27,1,FALSE,東區
2026-03-09,台北車站店,林淑芬,生活用品,9,6280,0.20,2,FALSE,南區
2026-08-18,台北旗艦店,王小明,美妝保養,7,8020,0.13,4,TRUE,南區
2026-04-22,台北車站店,林淑芬,生活用品,11,330,0.06,1,FALSE,南區
2026-08-12,台中新光店,劉俊傑,服飾配件,18,9030,0.29,3,TRUE,中區
2026-02-19,台中新光店,陳美玲,食品禮盒,20,1020,0.12,1,TRUE,東區
2026-07-09,台北旗艦店,李大華,美妝保養,15,5130,NA,3,TRUE,南區
2026-07-11,高雄漢神店,林淑芬,生活用品,3,6970,0.06,3,FALSE,北區
2026-08-07,高雄漢神店,陳美玲,3C 家電,4,730,0.30,,FALSE,北區
2026-08-26,台中新光店,李大華,服飾配件,19,8610,0.04,,TRUE,中區
2026-05-17,N/A,張雅婷,生活用品,3,7300,0.23,5,FALSE,未知
2026-07-15,台北車站店,王小明,食品禮盒,2,630,0.04,,FALSE,未知
2026-07-01,桃園機場店,林淑芬,生活用品,20,5050,0.11,4,FALSE,東區
2026-07-21,台北旗艦店,陳美玲,3C 家電,18,1260,0.20,,TRUE,南區
2026-03-29,台北旗艦店,張雅婷,服飾配件,6,9100,0.01,5,FALSE,北區
2026-06-03,高雄漢神店,林淑芬,美妝保養,12,5190,0.23,3,TRUE,南區
2026-07-08,桃園機場店,李大華,生活用品,13,1880,NA,1,FALSE,東區
2026-06-07,台北車站店,陳美玲,生活用品,10,7570,NA,,TRUE,南區
2026-05-18,高雄漢神店,李大華,生活用品,3,5300,0.18,4,FALSE,南區
2026-08-07,台北車站店,李大華,生活用品,9,8500,0.12,5,TRUE,南區
2026-05-09,台北旗艦店,林淑芬,美妝保養,5,5970,0.03,,FALSE,北區
2026-07-06,台北旗艦店,劉俊傑,食品禮盒,15,910,0.22,1,TRUE,中區
2026-04-20,桃園機場店,劉俊傑,3C 家電,16,3520,0.03,,TRUE,東區
2026-01-05,台北車站店,李大華,食品禮盒,11,2590,0.03,,TRUE,中區
2026-03-12,台中新光店,陳美玲,食品禮盒,11,1700,0.15,1,TRUE,南區
2026-04-21,台北車站店,陳美玲,美妝保養,17,4540,0.18,3,TRUE,南區
